Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestCase1,IE 11,,,2020-08-20 22:24:23,2020-08-20 22:25:24,1m - 0.577s,PASSED
,,,,,,,
Test Cases/TestCase1,IE 11,,,2020-08-20 22:24:25,2020-08-20 22:25:24,58.653s,PASSED
"openBrowser("""")",IE 11,,,2020-08-20 22:24:28,2020-08-20 22:24:39,11.134s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",IE 11,,,2020-08-20 22:24:39,2020-08-20 22:24:43,4.485s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/input_Demo account_form-control""))",IE 11,,,2020-08-20 22:24:43,2020-08-20 22:24:46,2.778s,PASSED
"setText(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",IE 11,,,2020-08-20 22:24:46,2020-08-20 22:24:49,3.222s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",IE 11,,,2020-08-20 22:24:49,2020-08-20 22:24:51,1.877s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/button_Login""))",IE 11,,,2020-08-20 22:24:51,2020-08-20 22:24:53,1.902s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",IE 11,,,2020-08-20 22:24:53,2020-08-20 22:24:59,6.510s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",IE 11,,,2020-08-20 22:24:59,2020-08-20 22:25:01,1.832s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/input_Medicaid_programs""))",IE 11,,,2020-08-20 22:25:01,2020-08-20 22:25:04,2.259s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",IE 11,,,2020-08-20 22:25:04,2020-08-20 22:25:06,2.564s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/td_29""))",IE 11,,,2020-08-20 22:25:06,2020-08-20 22:25:09,2.499s,PASSED
"setText(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Book Appointment"")",IE 11,,,2020-08-20 22:25:09,2020-08-20 22:25:12,3.000s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/button_Book Appointment""))",IE 11,,,2020-08-20 22:25:12,2020-08-20 22:25:16,4.771s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",IE 11,,,2020-08-20 22:25:16,2020-08-20 22:25:19,2.266s,PASSED
"click(findTestObject(""Object Repository/TestCase1/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",IE 11,,,2020-08-20 22:25:19,2020-08-20 22:25:21,2.356s,PASSED
closeBrowser(),IE 11,,,2020-08-20 22:25:21,2020-08-20 22:25:22,0.679s,PASSED
Video,IE 11,,,2020-08-20 22:25:24,2020-08-20 22:25:24,0.007s,PASSED
